name,GP,MPG,FG_percentage,FT_percentage,three_point_percentage,RPG,APG,STPG,BPG,TOPG,PPG,image,position
Al Horford,62,28.9,0.529,0.808,1.1,6.7,4.1,0.9,1.3,1.5,13.2,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/al-horford.png,5
Steven Adams,70,33.8,0.601,0.517,0,9.6,1.6,1.5,0.8,1.8,14.1,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/steven-adams.png,5
Serge Ibaka,65,27.9,0.521,0.776,0.6,8.1,1.4,0.4,1.4,1.6,15,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/serge-ibaka.png,5
Brandon Ingram,52,33.8,0.497,0.675,0.6,5.1,3,0.5,0.6,2.5,18.3,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/brandon-ingram.png,3
Myles Turner,65,28.6,0.487,0.724,1,7,1.6,0.8,2.8,1.4,13.3,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/myles-turner.png,5
Josh Richardson,69,34.9,0.413,0.855,2.3,3.7,4.1,1.1,0.5,1.6,16.8,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/josh-richardson.png,2
Jonas Valanciunas,43,21,0.575,0.81,0.3,7.6,1.3,0.4,0.9,1.6,14.7,https://www.washingtonpost.com/graphics/sports/nba-top-100-players-2016/images/jonas-valanciunas.png,5
Jayson Tatum,71,31.2,0.453,0.869,1.4,6.2,2,1.1,0.8,1.5,16,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/jayson-tatum.png,3
Rudy Gay,59,27,0.51,0.831,1.1,6.5,2.7,0.8,0.6,1.5,14.2,https://www.washingtonpost.com/graphics/sports/nba-top-100-players-2016/images/rudy-gay.png,3
Tristan Thompson,36,29.3,0.53,0.651,0,11,2.1,0.8,0.4,1.4,11.3,https://www.washingtonpost.com/graphics/2017/sports/nba-top-100-players-2017/images/tristan-thompson.png,5
Nikola Mirotic,46,27.1,0.439,0.847,2.5,7.4,1.2,0.7,0.7,1,15.2,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/nikola-mirotic.png,5
Jeff Teague,42,30.1,0.423,0.804,0.8,2.5,8.2,1,0.4,2.3,12.1,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/jeff-teague.png,1
Jabari Parker,57,27,0.502,0.713,1,6.5,2.4,0.7,0.5,2.5,14.6,https://www.washingtonpost.com/graphics/sports/nba-top-100-players-2016/images/jabari-parker.png,3
Paul Millsap,58,26.8,0.499,0.722,0.8,7.2,1.9,1.3,0.8,1.3,13,https://www.washingtonpost.com/graphics/2017/sports/nba-top-100-players-2017/images/paul-millsap.png,4
JJ Redick,68,31.5,0.435,0.897,3.1,2.4,2.8,0.4,0.2,1.3,17.8,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/j.j.-redick.png,2
Andrew Wiggins,62,34.8,0.398,0.697,1.6,4.8,2.4,1,0.7,1.8,17.5,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/andrew-wiggins.png,2
Draymond Green,55,31.4,0.431,0.68,0.7,7.4,7.1,1.5,1.1,2.5,7,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/draymond-green.png,4
Otto Porter Jr.,56,30.1,0.465,0.813,1.9,5.6,2.1,1.5,0.6,1.2,13.9,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images//otto-porter-jr..png,3
Thaddeus Young,72,30.8,0.519,0.638,0.6,6.5,2.4,1.6,0.5,1.5,12.4,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/thaddeus-young.png,4
Harrison Barnes,65,33.1,0.416,0.831,2.3,4.8,1.5,0.7,0.2,1.3,16.9,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/harrison-barnes.png,3
Ricky Rubio,61,28.3,0.395,0.854,1.2,3.6,6.2,1.4,0.2,2.7,12.6,https://www.washingtonpost.com/graphics/2018/sports/nba-top-100-players-2018/images/ricky-rubio.png,1
